iter	Logloss
0	0.6628909799
1	0.6368012558
2	0.6144941119
3	0.5946820362
4	0.578727577
5	0.5643439782
6	0.550802561
7	0.5393193563
8	0.5296804857
9	0.5212196578
10	0.5135223939
11	0.506399846
12	0.5006868996
13	0.4956346388
14	0.4909892702
15	0.4874997077
16	0.4842650364
17	0.481308788
18	0.4785370574
19	0.4761015103
20	0.473926979
21	0.4721477914
22	0.4702455916
23	0.4687952192
24	0.4674368552
25	0.4662820257
26	0.4651446356
27	0.4643233107
28	0.4633340131
29	0.4623828653
30	0.4616320649
31	0.4608817283
32	0.4601884897
33	0.4596966722
34	0.4591265854
35	0.4586544378
36	0.4581779439
37	0.4575577261
38	0.4572044131
39	0.4568573617
40	0.4565622667
41	0.4561519919
42	0.4559536474
43	0.45559851
44	0.4551933485
45	0.4549019736
46	0.4547392265
47	0.4544529819
48	0.4543622649
49	0.4541356512
50	0.4538668764
51	0.4535981111
52	0.4534615018
53	0.4533505748
54	0.4532265385
55	0.4529859265
56	0.4528246444
57	0.452703568
58	0.4526387037
59	0.4524397324
60	0.4523762401
61	0.4522642369
62	0.4521437716
63	0.4520485293
64	0.4519129969
65	0.451792769
66	0.4516223958
67	0.4515027913
68	0.4513927351
69	0.4512381896
70	0.4511754862
71	0.4510670616
72	0.4509509863
73	0.4508441524
74	0.4507932719
75	0.4506159116
76	0.450525197
77	0.4504540623
78	0.4503911067
79	0.4503139119
80	0.4502536998
81	0.4501865109
82	0.4501061791
83	0.4500561776
84	0.4500004329
85	0.4499057081
86	0.4498044319
87	0.4497155411
88	0.4496633142
89	0.4496104778
90	0.4495525014
91	0.4494932397
92	0.4493932591
93	0.4493368123
94	0.4492824707
95	0.4492000391
96	0.4491566249
97	0.4490791126
98	0.4490396948
99	0.4489716709
100	0.4489308733
101	0.448878827
102	0.4488467314
103	0.4487938395
104	0.4487552248
105	0.448705435
106	0.4486729889
107	0.4486389128
108	0.4486165806
109	0.4485679878
110	0.4485007629
111	0.4484714119
112	0.4484381587
113	0.4483866859
114	0.4483601715
115	0.448304225
116	0.4482619076
117	0.4482046819
118	0.448148677
119	0.4481031853
120	0.4480799112
121	0.4480548703
122	0.4480229733
123	0.4479783856
124	0.4479413024
125	0.4479013354
126	0.4478220357
127	0.4477763652
128	0.4477577447
129	0.447732635
130	0.4476841534
131	0.4476598325
132	0.447634521
133	0.4476028592
134	0.4475794676
135	0.4475265553
136	0.4474994588
137	0.4474333169
138	0.4473773819
139	0.4473505319
140	0.4473194726
141	0.4472833388
142	0.4472356252
143	0.4472006268
144	0.4471768551
145	0.4471475913
146	0.4471008599
147	0.4470559161
148	0.4470370016
149	0.4469990313
150	0.4469688302
151	0.4469375645
152	0.4469052962
153	0.4468821527
154	0.4468698878
155	0.4468307286
156	0.4467928252
157	0.4467822736
158	0.4467409669
159	0.4467154551
160	0.4466842771
161	0.4466615438
162	0.4466438589
163	0.4466111821
164	0.4465887851
165	0.446550554
166	0.4465191975
167	0.4464690212
168	0.4464390156
169	0.4464200541
170	0.446376614
171	0.4463533045
172	0.446320536
173	0.4462960135
174	0.4462712976
175	0.446235846
176	0.4461779441
177	0.4461236391
178	0.4460775341
179	0.4460390303
180	0.4460120585
181	0.4459887237
182	0.4459706532
183	0.4459414516
184	0.4459008262
185	0.4458584857
186	0.4458278214
187	0.4458022855
188	0.4457625821
189	0.4457340463
190	0.4456915285
191	0.4456683506
192	0.445631126
193	0.4456130627
194	0.4455873398
195	0.4455346152
196	0.4454849061
197	0.4454565874
198	0.4454355775
199	0.4454061213
200	0.4453690694
201	0.4453466835
202	0.4453012769
203	0.4452588548
204	0.4452171538
205	0.445186193
206	0.4451443421
207	0.4450881115
208	0.445044916
209	0.4449938218
210	0.4449529269
211	0.4449226446
212	0.4448920784
213	0.4448524037
214	0.4448134095
215	0.4447682717
216	0.4447281001
217	0.4446889455
218	0.4446579588
219	0.4446346472
220	0.4445864814
221	0.4445508196
222	0.4445080919
223	0.4444837682
224	0.4444463616
225	0.4444099146
226	0.4443750199
227	0.4443411408
228	0.4443119632
229	0.4442757079
230	0.4442264133
231	0.444204875
232	0.4441735745
233	0.4441463478
234	0.4441238412
235	0.4440849928
236	0.4440475034
237	0.4440194044
238	0.4439880923
239	0.4439402873
240	0.4439013216
241	0.4438736859
242	0.4438464662
243	0.4438254491
244	0.4437756717
245	0.4437284473
246	0.4436821834
247	0.4436470401
248	0.443606074
249	0.443573121
250	0.4435427207
251	0.4435045468
252	0.4434777796
253	0.4434467685
254	0.4434084028
255	0.4433656337
256	0.443323694
257	0.4432862282
258	0.4432457529
259	0.4432114967
260	0.443169521
261	0.4431442923
262	0.4431104178
263	0.4430932039
264	0.4430664522
265	0.4430483437
266	0.4430185482
267	0.4429802087
268	0.4429458945
269	0.442907239
270	0.4428684475
271	0.4428317592
272	0.4428113096
273	0.4427807842
274	0.4427461693
275	0.44271411
276	0.4426875405
277	0.4426458071
278	0.4426023035
279	0.4425711253
280	0.4425312153
281	0.442483377
282	0.4424379203
283	0.4423888499
284	0.4423424123
285	0.4423096855
286	0.4422826042
287	0.4422452129
288	0.4422221146
289	0.4421810144
290	0.4421399881
291	0.4421063982
292	0.4420681462
293	0.4420434878
294	0.4420110499
295	0.4419772101
296	0.4419364934
297	0.4419111616
298	0.4418779036
299	0.4418328618
300	0.4418047573
301	0.4417650537
302	0.4417278237
303	0.4417019909
304	0.4416702427
305	0.4416511315
306	0.4416143849
307	0.4415878864
308	0.4415423521
309	0.4414961514
310	0.4414713313
311	0.4414409714
312	0.4414118217
313	0.4413735841
314	0.441330596
315	0.4412960773
316	0.4412604531
317	0.4412266501
