iter	Passed	Remaining
0	100	100228
1	192	96203
2	274	91196
3	360	89857
4	451	89881
5	534	88611
6	636	90344
7	725	89944
8	823	90679
9	924	91516
10	1037	93270
11	1132	93252
12	1220	92658
13	1313	92475
14	1400	91998
15	1484	91291
16	1572	90956
17	1667	90963
18	1746	90191
19	1831	89734
20	1917	89373
21	2014	89557
22	2108	89581
23	2192	89176
24	2284	89102
25	2378	89100
26	2472	89095
27	2580	89568
28	2666	89282
29	2758	89182
30	2827	88372
31	2913	88137
32	2994	87760
33	3088	87736
34	3185	87818
35	3273	87658
36	3353	87293
37	3439	87082
38	3537	87158
39	3633	87200
40	3726	87152
41	3811	86930
42	3897	86733
43	3994	86797
44	4087	86744
45	4184	86772
46	4293	87062
47	4392	87127
48	4485	87061
49	4586	87138
50	4688	87241
51	4784	87228
52	4877	87143
53	4967	87024
54	5053	86828
55	5139	86630
56	5234	86591
57	5321	86420
58	5411	86309
59	5501	86188
60	5585	85976
61	5677	85887
62	5766	85764
63	5854	85616
64	5933	85344
65	6031	85353
66	6116	85175
67	6215	85195
68	6308	85117
69	6410	85173
70	6508	85155
71	6596	85017
72	6694	85010
73	6803	85134
74	6899	85093
75	6988	84968
76	7071	84763
77	7168	84733
78	7265	84702
79	7359	84639
80	7467	84723
81	7559	84629
82	7655	84574
83	7756	84587
84	7853	84545
85	7941	84406
86	8035	84327
87	8134	84301
88	8226	84205
89	8316	84093
90	8415	84065
91	8505	83949
92	8595	83826
93	8692	83780
94	8777	83613
95	8877	83594
96	8963	83443
97	9057	83369
98	9154	83316
99	9242	83184
100	9336	83100
101	9443	83136
102	9540	83086
103	9632	82984
104	9729	82930
105	9817	82799
106	9923	82818
107	10027	82817
108	10122	82743
109	10207	82590
110	10298	82484
111	10382	82318
112	10477	82241
113	10581	82241
114	10670	82113
115	10765	82039
116	10862	81979
117	10954	81881
118	11050	81811
119	11140	81695
120	11238	81639
121	11328	81531
122	11421	81433
123	11516	81357
124	11613	81296
125	11701	81169
126	11795	81083
127	11876	80911
128	11971	80833
129	12067	80758
130	12166	80710
131	12253	80576
132	12347	80493
133	12439	80394
134	12528	80275
135	12616	80149
136	12714	80094
137	12807	80001
138	12898	79898
139	13004	79884
140	13110	79869
141	13206	79795
142	13296	79686
143	13388	79587
144	13472	79440
145	13570	79380
146	13671	79331
147	13761	79223
148	13861	79167
149	13948	79039
150	14038	78931
151	14125	78804
152	14215	78695
153	14317	78651
154	14412	78571
155	14495	78423
156	14583	78305
157	14663	78145
158	14764	78093
159	14864	78036
160	14948	77901
161	15039	77799
162	15139	77738
163	15242	77701
164	15340	77630
165	15434	77545
166	15524	77436
167	15621	77363
168	15713	77268
169	15801	77150
170	15893	77049
171	15979	76923
172	16077	76854
173	16175	76787
174	16283	76766
175	16369	76638
176	16463	76549
177	16554	76448
178	16647	76355
179	16736	76245
180	16837	76185
181	16931	76097
182	17027	76017
183	17123	75937
184	17217	75850
185	17328	75836
186	17423	75749
187	17511	75633
188	17606	75549
189	17700	75460
190	17797	75381
191	17893	75300
192	17974	75156
193	18066	75059
194	18158	74963
195	18243	74834
196	18341	74760
197	18438	74685
198	18531	74591
199	18622	74490
200	18716	74400
201	18806	74293
202	18896	74190
203	18993	74110
204	19091	74037
205	19183	73942
206	19278	73852
207	19369	73752
208	19475	73707
209	19565	73601
210	19659	73513
211	19758	73440
212	19847	73334
213	19947	73266
214	20053	73218
215	20146	73123
216	20232	73006
217	20324	72906
218	20421	72825
219	20509	72715
220	20602	72622
221	20691	72514
222	20789	72437
223	20885	72353
224	20983	72276
225	21076	72184
226	21158	72051
227	21249	71949
228	21340	71850
229	21435	71763
230	21526	71662
231	21621	71575
232	21714	71482
233	21805	71380
234	21907	71316
235	21997	71212
236	22085	71101
237	22177	71005
238	22263	70888
239	22351	70778
240	22439	70670
241	22535	70587
242	22632	70504
243	22731	70431
244	22829	70351
245	22923	70262
246	23020	70178
247	23119	70105
248	23214	70017
249	23301	69905
250	23391	69800
251	23493	69734
252	23578	69616
253	23664	69502
254	23772	69453
255	23874	69385
256	23959	69268
257	24044	69151
258	24141	69068
259	24235	68979
260	24321	68864
261	24418	68782
262	24514	68697
263	24597	68574
264	24690	68479
265	24794	68417
266	24892	68337
267	25002	68291
268	25106	68227
269	25209	68159
270	25307	68077
271	25401	67985
272	25494	67891
273	25592	67811
274	25689	67726
275	25771	67603
276	25863	67507
277	25964	67432
278	26061	67348
279	26152	67250
280	26252	67173
281	26350	67091
282	26441	66990
283	26536	66900
284	26631	66812
285	26715	66695
286	26809	66602
287	26907	66521
288	27005	66439
289	27109	66372
290	27203	66279
291	27292	66175
292	27391	66094
293	27482	65994
294	27571	65890
295	27660	65787
296	27752	65690
297	27842	65589
298	27934	65491
299	28019	65378
300	28124	65311
301	28215	65212
302	28305	65112
303	28395	65009
304	28483	64905
305	28579	64816
